Passenger_ID,Flight_Date,Seat_Class,Flight_Delay_Min,Checkin_Time_Min,WiFi_Rating,Streaming_Experience_Rating,Satisfaction_Score,Loyalty_Status,Booking_Channel,Complaint_Ticket,Avg_Devices_Connected,WiFi_Dropouts,Content_Streaming,VPN_Use
PAX1050,2/20/24,Business,23.22408245,54.4538169,1,3,5.811871488,Silver,Website,No,1.6,1,Yes,No
PAX1051,2/21/24,Premium Economy,0,57.66406855,3,3,7.276445,Platinum,Phone,No,2.8,1,Yes,Yes
PAX1052,2/22/24,Business,5.854147873,48.77296265,5,3,7.490019818,None,Travel Agent,No,2,3,Yes,No
PAX1053,2/23/24,First,41.05938108,61.51350986,5,3,5.521282432,Silver,Mobile App,No,2,1,No,No
PAX1054,2/24/24,Business,19.72173793,31.73168234,2,3,8.706658665,None,Mobile App,Yes,2.3,1,Yes,No
PAX1055,2/25/24,First,0,63.43715798,4,3,7.26417916,Platinum,Mobile App,Yes,1.9,2,Yes,Yes
PAX1056,2/26/24,First,3.912022483,37.69258597,3,5,9.120689804,Platinum,Website,No,1.7,1,Yes,No
PAX1057,2/27/24,Economy,5.111207309,32.20080267,5,2,4.73264214,Platinum,Phone,No,1.7,2,No,No
PAX1058,2/28/24,Business,21.53521524,42.62608039,5,4,5.974211744,Silver,Travel Agent,No,1.8,3,Yes,No
PAX1059,2/29/24,Economy,13.51086079,63.7200568,5,4,8.275003963,Gold,Phone,No,1.8,1,Yes,Yes
PAX1060,3/1/24,Business,10.11226546,44.80557859,4,5,6.301334144,Gold,Phone,Yes,2.2,2,Yes,No
PAX1061,3/2/24,Business,20.05905957,35.67408343,4,2,7.253196513,None,Phone,Yes,1.8,3,Yes,No
PAX1062,3/3/24,Economy,27.16631149,32.05057526,3,3,7.501048676,Gold,Mobile App,No,2.2,0,Yes,No
PAX1063,3/4/24,Economy,16.11457033,43.94881495,1,5,7.737383971,None,Travel Agent,No,1.8,1,Yes,Yes
PAX1064,3/5/24,Business,11.37936189,25.05038428,5,5,6.483650681,Silver,Travel Agent,No,1.8,1,Yes,Yes
PAX1065,3/6/24,Premium Economy,13.67752669,31.99807158,5,5,7.723929845,None,Phone,No,0.8,3,Yes,No
PAX1066,3/7/24,First,25.09731446,60.43067652,5,3,6.326184442,None,Mobile App,Yes,2.3,3,Yes,No
PAX1067,3/8/24,Economy,19.88929775,58.23263807,5,3,8.511420703,None,Mobile App,No,2,1,No,No
PAX1068,3/9/24,First,31.50945258,43.71587853,4,4,7.327733971,Silver,Travel Agent,No,2.3,1,No,No
PAX1069,3/10/24,Premium Economy,2.753111338,40.34335229,5,5,7.732554935,None,Mobile App,No,0.5,0,Yes,Yes
PAX1070,3/11/24,Premium Economy,8.369958411,45.58508902,5,4,10,Gold,Mobile App,No,2.8,1,No,No
PAX1071,3/12/24,Premium Economy,31.59711284,68.47996928,5,4,5.839343318,None,Mobile App,No,1.7,0,Yes,No
PAX1072,3/13/24,Economy,7.97258235,49.04975509,3,3,9.582873404,None,Website,Yes,2.4,0,Yes,No
PAX1073,3/14/24,Premium Economy,40.76023578,54.09738175,4,5,3.510972964,Silver,Phone,Yes,1.3,3,Yes,No
PAX1074,3/15/24,Economy,41.07807959,42.97542474,2,3,4.382435018,Gold,Travel Agent,No,2.1,1,Yes,No
PAX1075,3/16/24,Premium Economy,40.8848863,45.60896607,5,3,5.639039883,None,Travel Agent,No,1.3,1,No,Yes
PAX1076,3/17/24,First,6.790387722,51.47162697,4,4,5.733707452,Silver,Website,No,1.5,1,No,No
PAX1077,3/18/24,First,21.15342423,46.26094828,3,4,7.805552697,Gold,Phone,No,2.8,2,No,No
PAX1078,3/19/24,Business,12.59851277,26.02623018,4,3,7.934763396,Silver,Travel Agent,No,1.7,0,Yes,No
PAX1079,3/20/24,First,33.84743913,57.80540762,4,2,7.117768097,None,Mobile App,No,1.9,2,Yes,No
PAX1080,3/21/24,Business,45.59907431,38.84866322,3,4,7.27518305,None,Travel Agent,No,2.2,1,Yes,No
PAX1081,3/22/24,First,33.10384123,66.11317642,2,3,8.291647141,Gold,Mobile App,Yes,2,2,Yes,No
PAX1082,3/23/24,Economy,20.13716519,51.86848513,4,4,8.749835816,None,Website,No,1.9,0,Yes,No
PAX1083,3/24/24,First,14.51691055,45.70972416,4,3,5.510191476,Gold,Mobile App,Yes,2,0,Yes,No
PAX1084,3/25/24,Business,29.73630099,49.3932714,5,4,6.957163543,Silver,Travel Agent,No,3,1,Yes,No
PAX1085,3/26/24,Business,1.65689695,43.91502111,4,4,7.395615266,Platinum,Travel Agent,No,1.8,1,Yes,Yes
PAX1086,3/27/24,Premium Economy,28.04504049,40.13567234,5,2,8.227973995,Gold,Travel Agent,Yes,1.9,3,No,No
PAX1087,3/28/24,Economy,6.279636031,47.07598261,4,3,6.340999287,Platinum,Website,No,2.3,1,No,No
PAX1088,3/29/24,First,29.30822324,53.84990467,4,2,7.366168237,None,Website,No,2.4,1,No,No
PAX1089,3/30/24,Premium Economy,17.58593935,40.35470251,5,2,7.544975452,Gold,Phone,No,2.4,0,Yes,No
PAX1090,3/31/24,First,14.17603402,38.77762835,4,5,6.443294845,Silver,Travel Agent,No,2.1,2,Yes,No
PAX1091,4/1/24,First,6.717314393,41.44511359,2,3,6.407527275,Silver,Mobile App,Yes,1.2,1,Yes,No
PAX1092,4/2/24,Premium Economy,14.64882461,54.52011094,1,5,7.648118666,Silver,Website,No,2.6,3,No,No
PAX1093,4/3/24,Premium Economy,28.34182698,59.52550247,5,3,7.304482281,Gold,Travel Agent,No,1.2,1,Yes,Yes
PAX1094,4/4/24,Premium Economy,35.65790916,48.62013912,4,4,8.250716279,Platinum,Travel Agent,Yes,2,0,Yes,Yes
PAX1095,4/5/24,Premium Economy,27.89672242,50.81314134,5,5,5.920111919,Gold,Website,No,1.4,0,No,Yes
PAX1096,4/6/24,Premium Economy,40.45829787,38.70299143,3,4,6.973977708,Silver,Phone,Yes,1.8,1,Yes,No
PAX1097,4/7/24,First,58.08744074,53.7675465,2,4,7.156175923,Silver,Website,Yes,2,1,Yes,No
PAX1098,4/8/24,Premium Economy,15.13263563,50.5173701,1,4,8.720795862,Gold,Website,No,2,0,Yes,Yes
PAX1099,4/9/24,Economy,16.91199924,37.89872042,3,3,6.089379338,None,Mobile App,Yes,2,0,Yes,No
PAX1100,4/10/24,Business,0,27.12328388,4,5,7.851978008,None,Mobile App,No,2.6,4,Yes,No
PAX1101,4/11/24,Premium Economy,37.86090884,32.79429896,3,5,7.879133261,None,Phone,No,2,1,Yes,Yes
PAX1102,4/12/24,Premium Economy,39.49095221,38.30797272,4,5,9.969595864,None,Travel Agent,No,1.7,1,Yes,No
PAX1103,4/13/24,First,6.992807659,56.61937318,5,2,5.989365954,None,Website,No,2.3,1,Yes,No
PAX1104,4/14/24,Premium Economy,29.26461268,60.52859776,3,4,6.514150023,None,Phone,No,2.4,1,No,No
PAX1105,4/15/24,Premium Economy,38.25606195,40.60482125,4,5,6.093966477,None,Mobile App,Yes,1.2,1,Yes,No
PAX1106,4/16/24,Premium Economy,23.39432404,40.92084647,5,3,4.995331242,None,Website,No,2.1,1,Yes,No
PAX1107,4/17/24,First,32.71102149,47.61623056,3,2,10,Platinum,Travel Agent,No,2.2,4,Yes,No
PAX1108,4/18/24,Premium Economy,22.62249518,45.12146509,4,4,5.637748154,Silver,Mobile App,Yes,1.7,1,No,No
PAX1109,4/19/24,Business,1.747176615,54.30934084,5,4,6.275541886,None,Mobile App,No,2.5,0,Yes,No
PAX1110,4/20/24,First,35.74021088,39.76811906,5,5,9.473649762,Silver,Mobile App,Yes,1.7,1,Yes,Yes
PAX1111,4/21/24,Business,39.87658492,54.49142988,2,2,4.87033943,None,Phone,No,1.9,2,No,No
PAX1112,4/22/24,First,31.01751597,42.60775202,5,5,8.634527354,Platinum,Travel Agent,No,1.7,3,No,No
PAX1113,4/23/24,Premium Economy,5.682541071,53.53974711,4,3,5.380463482,Gold,Website,No,1.8,0,Yes,Yes
PAX1114,4/24/24,Business,8.73230863,42.28959538,3,3,9.370042105,None,Phone,No,1.3,1,No,Yes
PAX1115,4/25/24,First,3.043579203,38.86905317,4,3,4.245183469,Silver,Phone,No,1.1,2,Yes,No
PAX1116,4/26/24,Economy,31.5496604,64.1231764,5,5,4.869795876,Gold,Phone,No,2.6,0,Yes,No
PAX1117,4/27/24,Premium Economy,39.02584284,55.65227083,4,4,6.682616648,Platinum,Mobile App,No,1.4,0,Yes,No
PAX1118,4/28/24,First,26.36729366,27.079549,3,4,8.957734035,Silver,Travel Agent,Yes,1.3,1,Yes,No
PAX1119,4/29/24,Economy,34.10803377,40.53226488,4,3,7.453562624,Silver,Phone,No,0.7,0,No,Yes
PAX1120,4/30/24,First,6.98538365,57.04922922,3,5,6.996427391,None,Website,No,1.5,0,Yes,No
PAX1121,5/1/24,Economy,22.18792779,33.03339531,1,3,9.519066311,Platinum,Travel Agent,No,1.1,2,Yes,Yes
PAX1122,5/2/24,Premium Economy,0,52.7067833,2,5,10,None,Website,No,2.6,0,No,No
PAX1123,5/3/24,Business,8.423288758,51.67056103,2,4,8.508385927,Platinum,Travel Agent,No,2.3,1,No,No
PAX1124,5/4/24,Economy,33.18010322,38.00853422,2,3,6.565718245,Silver,Website,No,1.5,1,Yes,No
PAX1125,5/5/24,First,16.40608238,44.91182954,2,4,6.872785449,Silver,Mobile App,No,2.9,0,Yes,No
PAX1126,5/6/24,Premium Economy,38.14072956,24.09982251,4,3,5.56732893,Silver,Phone,Yes,2.3,0,Yes,No
PAX1127,5/7/24,Economy,28.06940006,62.70431517,2,4,7.651226133,None,Website,Yes,1.6,2,No,No
PAX1128,5/8/24,First,61.01633239,41.90907491,3,4,5.055610521,None,Travel Agent,No,0.6,0,No,No
PAX1129,5/9/24,First,21.40648145,53.03813051,5,3,8.327795483,None,Phone,No,2.9,0,No,No
PAX1130,5/10/24,First,0,51.13841341,4,5,10,None,Phone,No,1.1,1,Yes,No
PAX1131,5/11/24,Economy,19.48205516,58.57880788,4,3,8.57638737,Gold,Travel Agent,No,1,2,Yes,No
PAX1132,5/12/24,Economy,5.554765609,40.66696593,2,4,6.79627842,None,Website,No,2.3,0,Yes,No
PAX1133,5/13/24,Economy,34.65770001,47.03822728,2,5,8.290406119,None,Mobile App,No,3,0,Yes,No
PAX1134,5/14/24,Business,20.62970097,50.59109203,1,4,9.930800168,Platinum,Mobile App,No,2.5,3,Yes,Yes
PAX1135,5/15/24,Economy,17.94092274,53.72541591,2,2,9.855741953,Gold,Website,No,2.1,0,No,No
PAX1136,5/16/24,Economy,18.13801417,56.54354338,3,5,5.994363163,Platinum,Phone,No,2.1,2,Yes,No
PAX1137,5/17/24,Economy,31.10511227,40.22618269,2,4,8.265444584,Platinum,Phone,No,2.2,3,Yes,Yes
PAX1138,5/18/24,Business,13.21306651,38.35772557,1,3,7.262847765,None,Phone,No,2.2,2,No,Yes
PAX1139,5/19/24,Economy,31.65574692,58.60111366,2,2,8.709889872,None,Phone,No,1.9,2,Yes,Yes
PAX1140,5/20/24,First,35.68356753,24.62924065,4,5,8.075420931,Gold,Website,No,1.9,1,No,No
PAX1141,5/21/24,Economy,14.86787431,60.70032281,3,4,3.945417886,Silver,Phone,No,1.8,1,Yes,No
PAX1142,5/22/24,First,6.109300712,41.97675758,3,4,6.977980371,None,Travel Agent,No,1.4,1,Yes,No
PAX1143,5/23/24,First,12.30552024,44.95437171,4,5,7.797837544,Gold,Phone,No,1.7,0,Yes,No
PAX1144,5/24/24,First,30.65163861,38.17657399,4,5,5.348452549,None,Mobile App,No,1,0,Yes,No
PAX1145,5/25/24,Business,21.38718307,44.51804514,1,3,8.371533015,None,Phone,No,1.8,2,No,No
PAX1146,5/26/24,Business,29.45112408,57.71138226,5,3,5.213977137,Silver,Website,Yes,1.3,4,Yes,No
PAX1147,5/27/24,Business,46.44406208,52.70863101,4,3,6.302341429,Silver,Mobile App,Yes,1.2,2,Yes,No
PAX1148,5/28/24,Economy,23.46430584,49.92686484,1,4,9.51196788,Silver,Website,No,1.9,3,Yes,No
PAX1149,5/29/24,First,7.865946629,45.88873006,5,1,6.174333317,None,Website,No,2.5,3,Yes,No
